id,name,category,subcategory,platform,followers,engagement_rate,avg_likes,avg_comments,keywords,fraud_risk,fraud_risk_label,location,content_type,price_usd,verified,gender,fraud_label
1,Komal Pandey,Fashion,Streetwear,Instagram,1350000.0,4.8,64800,1350,"streetwear,ootd,fashion,style,urban,reels",0.06,Low,Delhi India,Reels & Photos,3500.0,True,Male,
2,Masoom Minawala,Fashion,Luxury fashion,Instagram,1050000.0,3.9,40950,920,"luxury,designer,highend,fashion,lifestyle",0.06,Low,Mumbai India,Photos & Stories,8500.0,True,Male,
3,Kusha Kapila,Fashion,Streetwear,Instagram,2300000.0,5.2,119600,2300,"fashion,comedy,reels,trending,style",0.05,Low,Delhi India,Reels,6500.0,True,Female,
4,Santoshi Shetty,Fashion,Ethnic wear,Instagram,920000.0,4.1,37720,820,"ethnic,saree,traditional,Indian fashion,culture",0.06,Low,Bangalore India,Photos,3000.0,True,Female,
5,Niki Mehra,Fashion,Sustainable fashion,Instagram,700000.0,5.8,40600,980,"sustainable,eco,fashion,environment,conscious",0.05,Low,Mumbai India,Reels & Blog,2400.0,True,Female,
6,Kritika Khurana,Fashion,Streetwear,YouTube,1950000.0,3.7,72150,1400,"streetwear,fashion,ootd,styling,lookbook",0.08,Low,Delhi India,Vlogs,5500.0,True,Female,
7,Masaba Gupta,Fashion,Ethnic wear,Instagram,1550000.0,4.3,66650,1200,"ethnic,designer,Indian,fashion,culture",0.05,Low,Mumbai India,Photos & Stories,9500.0,True,Female,
8,Aashna Shroff,Fashion,Sustainable fashion,Instagram,800000.0,5.1,40800,900,"sustainable,fashion,beauty,lifestyle,conscious",0.06,Low,Mumbai India,Reels,2700.0,True,Female,
9,Isha Bhansali,Fashion,Ethnic wear,YouTube,73.0,15.81,13,4,"ethnic,dance,fashion,Indian,cultural",0.06,Low,Jaipur India,Vlogs,1900.0,True,Female,
10,Dolly Singh,Fashion,Streetwear,Instagram,1300000.0,5.4,70200,1600,"fashion,comedy,streetwear,India,reels",0.05,Low,Delhi India,Reels,4200.0,True,Female,
11,Sejal Kumar,Fashion,Sustainable fashion,YouTube,1460000.0,3.08,333,8,"fashion,sustainable,lifestyle,India,DIY",0.05,Low,Delhi India,Vlogs,5200.0,True,Male,
12,Nidhi Katiyar,Fashion,Ethnic wear,Instagram,580000.0,6.8,39440,1050,"ethnic,fashion,Indian,saree,traditional",0.04,Low,Lucknow India,Photos,2100.0,True,Female,
13,Diipa Buller Khosla,Fashion,Luxury fashion,Instagram,1800000.0,4.2,75600,1700,"luxury,fashion,lifestyle,India,international",0.06,Low,Netherlands,Photos,6500.0,True,Female,
14,Debasree Banerjee,Fashion,Ethnic wear,Instagram,880000.0,5.3,46640,1150,"ethnic,fashion,Bengali,saree,lifestyle",0.05,Low,Kolkata India,Photos,3200.0,True,Female,
15,Wisdom Kaye,Fashion,Streetwear,Instagram,4500000.0,6.8,306000,7500,"streetwear,style,menswear,creative,USA",0.04,Low,USA,Reels,15000.0,True,Male,
16,Natalie Offerman,Fashion,Sustainable fashion,Instagram,1050000.0,6.8,71400,1800,"sustainable,fashion,eco,lifestyle,organic",0.04,Low,USA,Photos,3800.0,True,Male,
17,Venetia La Manna,Fashion,Sustainable fashion,Instagram,1500000.0,7.2,108000,2600,"sustainable,fashion,secondhand,thrift,activist",0.03,Low,UK,Reels,5200.0,True,Female,
18,Aimee Song,Fashion,Luxury fashion,Instagram,7200000.0,3.8,273600,5900,"luxury,fashion,travel,lifestyle,Korean-American",0.07,Low,USA,Photos,19000.0,True,Female,
19,Chiara Ferragni,Fashion,Luxury fashion,Instagram,28000000.0,2.9,812000,16200,"luxury,fashion,Italy,lifestyle,business",0.11,Medium,Italy,Photos,62000.0,True,Female,
20,Leonie Hanne,Fashion,Luxury fashion,Instagram,5600000.0,4.1,229600,5100,"luxury,fashion,travel,glam,Germany",0.06,Low,Dubai UAE,Photos,17000.0,True,Male,
21,Tamara Kalinic,Fashion,Luxury fashion,Instagram,1700000.0,4.8,81600,1900,"luxury,fashion,beauty,lifestyle,Croatia",0.06,Low,UK,Photos,5800.0,True,Female,
22,Imaan Hammam,Fashion,Streetwear,Instagram,3000000.0,4.5,135000,3000,"streetwear,model,fashion,diversity,Netherlands",0.05,Low,Netherlands,Photos,8500.0,True,Male,
23,Bretman Rock,Fashion,Streetwear,Instagram,18000000.0,4.2,756000,15100,"streetwear,beauty,comedy,Hawaii,lifestyle",0.08,Low,Philippines,Reels,44000.0,True,Male,
24,Wisdom Kiteri,Fashion,Ethnic wear,Instagram,620000.0,7.1,44020,1150,"ethnic,African,fashion,cultural,traditional",0.04,Low,Kenya,Photos,2400.0,True,Male,
25,Santanu Hazarika,Fashion,Ethnic wear,Instagram,520000.0,6.5,33800,900,"ethnic,art,fashion,India,northeast",0.04,Low,Assam India,Photos,1900.0,True,Male,
26,Prabal Gurung,Fashion,Luxury fashion,Instagram,980000.0,4.5,44100,1050,"luxury,fashion,designer,Nepal,NYC",0.05,Low,USA,Photos,4500.0,True,Male,
27,Ritu Kumar,Fashion,Ethnic wear,Instagram,420000.0,5.2,21840,580,"ethnic,Indian,designer,heritage,fashion",0.05,Low,Delhi India,Photos,2000.0,True,Male,
28,Anita Dongre,Fashion,Sustainable fashion,Instagram,890000.0,4.8,42720,980,"sustainable,Indian,fashion,designer,ethnic",0.05,Low,Mumbai India,Photos,4000.0,True,Female,
29,Sabyasachi Mukherjee,Fashion,Ethnic wear,Instagram,3200000.0,3.8,121600,2800,"ethnic,luxury,Indian,bridal,designer",0.06,Low,Kolkata India,Photos,12000.0,True,Female,
30,Gaurav Kapur,Sports,Cricket,YouTube,950000.0,4.5,42750,1150,"cricket,interview,sports,entertainment,show",0.05,Low,Delhi India,Shows,3800.0,True,Male,
31,Sohrab Elias,Sports,Football,Instagram,460000.0,6.8,31280,950,"football,soccer,skills,training,sport",0.04,Low,Kolkata India,Reels,1600.0,True,Male,
32,Milind Soman,Sports,Fitness training,Instagram,2050000.0,4.1,84050,1700,"fitness,running,ironman,health,lifestyle",0.05,Low,Mumbai India,Photos & Videos,7500.0,True,Male,
33,Ankur Warikoo,Sports,Fitness training,YouTube,3400000.0,5.8,197200,4400,"entrepreneurship,fitness,mindset,growth,education",0.04,Low,Delhi India,Videos,11000.0,True,Male,
34,Sunil Chhetri,Sports,Football,Instagram,2300000.0,4.8,110400,2500,"football,India,ISL,captain,sports",0.04,Low,Bangalore India,Photos,7500.0,True,Male,
35,Aditi Ashok,Sports,Outdoor adventure,Instagram,310000.0,6.5,20150,570,"golf,sports,outdoor,India,Olympics",0.03,Low,Bangalore India,Photos,1100.0,True,Female,
36,Suniel Shetty,Sports,Fitness training,Instagram,4100000.0,3.7,151700,3300,"fitness,action,Bollywood,martial arts,lifestyle",0.07,Low,Mumbai India,Photos,12000.0,True,Male,
37,Tiger Shroff,Sports,Fitness training,Instagram,18500000.0,4.1,758500,15200,"fitness,dance,action,Bollywood,martial arts",0.08,Low,Mumbai India,Reels,48000.0,True,Male,
